City Tire and Auto,,,,
Combined Profit And Loss Report,,,,
For period ending 31/07/2022,,,,
( July/2022 ) - [Monthly],,,,
Account Code,GLB,Account Name,July (Interim),June (Interim)
300000,,** INCOME **,,
300600,1,TIRE LABOUR ROAD              ,,
300600,2,TIRE LABOUR ROAD              ,,
300600,3,TIRE LABOUR ROAD              ,,
300600,4,TIRE LABOUR ROAD              ,5829.35,7531.9
300600,5,TIRE LABOUR ROAD              ,6222.61,6524.36
300600,9,TIRE LABOUR ROAD              ,4033.25,4569.45
300600,10,TIRE LABOUR ROAD              ,21088.54,30542.43
300600,11,TIRE LABOUR ROAD              ,,113.25
300601,1,SALES OF INVENTORY (FORMERLY T,94953.81,124317.95
300601,2,SALES OF INVENTORY (FORMERLY T,57972.54,59881.07
300601,3,SALES OF INVENTORY (FORMERLY T,59502.07,78134.63
300601,4,SALES OF INVENTORY (FORMERLY T,90842.19,95559.49
300601,5,SALES OF INVENTORY (FORMERLY T,195229.98,257982.8
300601,7,SALES OF INVENTORY (FORMERLY T,,
300601,9,SALES OF INVENTORY (FORMERLY T,17194.29,29192.27
300601,10,SALES OF INVENTORY (FORMERLY T,69806.39,129917.39
300601,11,SALES OF INVENTORY (FORMERLY T,29312.8,31324.89
300601,347,SALES OF INVENTORY (FORMERLY T,31295,34773.38
300601,AHO,SALES OF INVENTORY (FORMERLY T,,
300602,1,TIRE LABOUR SHOP              ,9968.73,16955.58
300602,2,TIRE LABOUR SHOP              ,5546.87,11725.41
300602,3,TIRE LABOUR SHOP              ,5665.93,12625.47
300602,4,TIRE LABOUR SHOP              ,10671.55,12678.99
300602,5,TIRE LABOUR SHOP              ,4230.35,10355.69
300602,9,TIRE LABOUR SHOP              ,2615.4,3755.97
300602,10,TIRE LABOUR SHOP              ,10029.71,16044.06
300602,11,TIRE LABOUR SHOP              ,84,
300602,347,TIRE LABOUR SHOP              ,200,405.9
300602,AHO,TIRE LABOUR SHOP              ,,
300603,1,TIRE PARTS                    ,273.04,2134.2
300603,2,TIRE PARTS                    ,49.95,99.9
300603,3,TIRE PARTS                    ,-323.36,439.25
300603,4,TIRE PARTS                    ,2651.16,2805.95
300603,5,TIRE PARTS                    ,3143.08,3965.05
300603,9,TIRE PARTS                    ,403.8,126.45
300603,10,TIRE PARTS                    ,4156.75,3895.54
300603,11,TIRE PARTS                    ,,
300603,347,TIRE PARTS                    ,,136
300604,1,MECHANICAL LABOUR SALES       ,89893.6,90212.75
300604,2,MECHANICAL LABOUR SALES       ,49467.79,47392.39
300604,3,MECHANICAL LABOUR SALES       ,36578.05,47771.17
300604,4,MECHANICAL LABOUR SALES       ,23819.79,28695.99
300604,5,MECHANICAL LABOUR SALES       ,28730.86,33669.5
300604,7,MECHANICAL LABOUR SALES       ,,
300604,9,MECHANICAL LABOUR SALES       ,7208.94,5526.33
300604,10,MECHANICAL LABOUR SALES       ,1075.7,1409.73
300604,11,MECHANICAL LABOUR SALES       ,57219.03,72677.81
300604,AHO,MECHANICAL LABOUR SALES       ,,
300605,1,MECHANICAL PARTS              ,16006.42,18130.74
300605,2,MECHANICAL PARTS              ,6332.2,8093.04
300605,3,MECHANICAL PARTS              ,6249,10554.3
300605,4,MECHANICAL PARTS              ,5684.91,7402.13
300605,5,MECHANICAL PARTS              ,5563.08,7573.77
300605,9,MECHANICAL PARTS              ,2254.41,3117.38
300605,10,MECHANICAL PARTS              ,1242.55,2696.27
